order_id,customer_id,product_id,order_date,order_value,name_x,age,email,region_id,name_y,category,price,region_name,year,month,is_high_value,junk
7164fe18-6af0-4310-9e7f-463e47557bec,1089,548,2023-08-14,1516.32,John Adkins,35,knightpeter@example.org,1,Play,Electronics,116.5,North,2023,8,True,meh
e0d93e07-6195-4b2b-a154-6e0871af17c6,1039,550,2024-11-22,1709.77,Katherine Key,24,jeffrey32@example.org,2,Across,Books,118.07,South,2024,11,True,meh
ea457bbc-2604-4e13-888a-fd87a15c24a9,1068,547,2023-03-10,1481.7,Jill Cox,20,nicholas07@example.org,5,Personal,Fashion,396.66,Central,2023,3,True,meh
679d99d9-bc12-4bea-8e60-64078a12f27a,1068,527,2023-04-01,476.41,Jill Cox,20,nicholas07@example.org,5,Process,Electronics,45.63,Central,2023,4,False,meh
4476d48a-05d8-4418-b11e-271b18a86218,1073,548,2023-12-06,173.01,Steven Webster,67,heather74@example.com,2,Play,Electronics,116.5,South,2023,12,False,meh
b7a486c3-5c30-433d-80be-ff08b0887b17,1016,517,2023-06-01,1429.97,Justin Hunter,62,lynnwalker@example.com,4,Hot,Home,445.51,West,2023,6,True,meh
cfcf02ae-aeaf-4ec3-93d2-0a7fb2d995ea,1024,538,2024-12-09,505.28,Debbie Dyer,55,copelanddavid@example.com,4,Bed,Fashion,396.6,West,2024,12,False,meh
af17a695-b46b-42e9-a9b5-a3b4be4b1495,1024,548,2023-03-29,1371.81,Debbie Dyer,55,copelanddavid@example.com,4,Play,Electronics,116.5,West,2023,3,True,meh
42c82b69-05ba-4dce-becb-c92f6330e786,1006,507,2024-01-06,1128.13,Christopher Taylor,49,brittanymitchell@example.net,5,Specific,Electronics,84.66,Central,2024,1,True,meh
a7af6ff5-fe82-4e95-8c36-7d1480403c02,1064,518,2023-08-09,395.21,Nicholas Perez,68,andersonchristopher@example.com,1,Begin,Electronics,42.76,North,2023,8,False,meh
9034f8eb-1c42-4682-95f5-235b5bbbc20e,1045,517,2023-11-10,1661.08,Heather Cummings,52,fuentessamantha@example.org,1,Hot,Home,445.51,North,2023,11,True,meh
b209ce53-8a78-46b2-957b-8ced57078316,1046,531,2024-11-22,741.63,Michael Hanna,49,morrisbilly@example.net,4,Add,Fashion,175.33,West,2024,11,False,meh
2713e0c8-fbce-4dbc-8512-e8ebd08620ed,1004,545,2023-06-01,1135.85,James Martin,40,uprice@example.org,2,Term,Books,38.86,South,2023,6,True,meh
9adea11a-a667-43e2-8dda-359c3697c1ca,1014,544,2024-02-28,131.28,Jessica Chavez,64,rbrown@example.org,3,Concern,Books,14.74,East,2024,2,False,meh
b930ce7a-84fe-4a9a-ba38-b29c8bc9d5d0,1001,533,2024-10-26,542.76,Teresa Chapman,62,julielutz@example.com,4,Over,Fashion,363.84,West,2024,10,False,meh
f02fdaa0-9e3b-47c9-9ebc-04a2c81d472f,1094,549,2024-02-26,1901.29,Rebecca Brooks,52,davistammy@example.net,1,Until,Electronics,174.84,North,2024,2,True,meh
386e6fb3-9eee-4682-acc7-c5c9e5ce0a2a,1024,513,2023-10-31,902.48,Debbie Dyer,55,copelanddavid@example.com,4,Grow,Home,268.22,West,2023,10,False,meh
975a9ae3-a0ca-4bf9-b5b1-1cbb4da491ea,1028,516,2023-10-20,1743.15,John Rocha,23,michaelferguson@example.net,2,Past,Books,125.65,South,2023,10,True,meh
51c67686-3800-42ce-8ac5-89e27780a3cf,1012,537,2023-11-28,1116.1,William Jones,48,victorsilva@example.net,5,Fill,Fashion,133.46,Central,2023,11,True,meh
a547f6ab-530c-4057-88fd-17f32172ec42,1023,537,2023-06-09,1900.14,James Gray,18,carl54@example.com,3,Fill,Fashion,133.46,East,2023,6,True,meh
b7e1753e-fbb1-4f07-9765-d067fae329b4,1065,518,2023-05-28,599.47,Devon Johnson,23,andrew44@example.com,5,Begin,Electronics,42.76,Central,2023,5,False,meh
ecc0ed95-73ec-4951-a672-1042bef700c8,1069,538,2023-02-05,1925.98,John Hernandez,46,mikeparks@example.net,3,Bed,Fashion,396.6,East,2023,2,True,meh
1cb6df97-3cc5-4dc6-a954-6b21e6350836,1028,527,2024-07-26,1783.81,John Rocha,23,michaelferguson@example.net,2,Process,Electronics,45.63,South,2024,7,True,meh
3792d884-9be7-4cfd-9c66-a2944f813c1c,1003,508,2024-07-14,838.12,Dr. Steven Cook Jr.,56,gburns@example.com,5,Girl,Books,393.58,Central,2024,7,False,meh
2532862c-a710-4420-b14f-499d4e1d068e,1047,506,2024-04-17,1922.69,Jamie Gibson,26,torresstacy@example.org,4,More,Electronics,237.58,West,2024,4,True,meh
3a383bb7-c12e-463f-9ab7-edea719fa715,1008,536,2024-04-24,530.24,Brandon Davis,27,emily72@example.net,5,Manager,Home,221.75,Central,2024,4,False,meh
55d50f3e-1eea-4400-a0f1-fd43c7f0b4b5,1056,523,2023-09-07,493.28,Jordan Parks,56,jdaniels@example.com,1,Full,Books,160.69,North,2023,9,False,meh
ce49d966-1252-494a-80a6-4bc5a732d73b,1098,544,2024-01-14,335.53,Nancy Thomas,29,lewisjenna@example.net,1,Concern,Books,14.74,North,2024,1,False,meh
9cb4d9b8-8fe5-4b5a-9613-729405856e3c,1029,549,2024-05-27,1450.05,Deanna Martin,60,swansonjames@example.org,2,Until,Electronics,174.84,South,2024,5,True,meh
b9c5e232-3e34-43fd-9242-287f7f11c2d8,1010,528,2024-09-02,1135.28,Jennifer Hernandez,36,fwilliams@example.org,5,Past,Books,74.64,Central,2024,9,True,meh
f369accc-0e69-41ef-8a05-d4c389ce82fd,1074,539,2023-10-21,719.66,Thomas Burgess,61,loganflores@example.com,2,No,Home,334.81,South,2023,10,False,meh
541349bd-2427-407c-9a5a-bf2ee3b63271,1049,513,2023-10-09,1342.78,Mark Baker,69,jennifer28@example.net,1,Grow,Home,268.22,North,2023,10,True,meh
5a920e84-400d-405d-8c56-ccbe74e14c6b,1073,532,2025-02-06,233.88,Steven Webster,67,heather74@example.com,2,Difficult,Electronics,373.09,South,2025,2,False,meh
8439ff4e-a95e-4b3b-8ad4-8bb7bbce760b,1033,535,2023-05-12,1637.17,Brenda Cummings,25,kenneth25@example.com,5,Then,Home,399.68,Central,2023,5,True,meh
788524c4-efad-4017-9297-b2d6187b056e,1074,535,2023-11-17,1619.16,Thomas Burgess,61,loganflores@example.com,2,Then,Home,399.68,South,2023,11,True,meh
